artist,song,week_number,chart_rank,date
Destiny's Child,Independent Women Part I,1,78.0,2000-09-23
Santana,"Maria, Maria",1,15.0,2000-02-12
Savage Garden,I Knew I Loved You,1,71.0,1999-10-23
Madonna,Music,1,41.0,2000-08-12
"Aguilera, Christina",Come On Over Baby (All I Want Is You),1,57.0,2000-08-05
Janet,Doesn't Really Matter,1,59.0,2000-06-17
Destiny's Child,Say My Name,1,83.0,1999-12-25
"Iglesias, Enrique",Be With You,1,63.0,2000-04-01
Sisqo,Incomplete,1,77.0,2000-06-24
Lonestar,Amazed,1,81.0,1999-06-05
N'Sync,It's Gonna Be Me,1,82.0,2000-05-06
"Aguilera, Christina",What A Girl Wants,1,71.0,1999-11-27
Vertical Horizon,Everything You Want,1,70.0,2000-01-22
Creed,With Arms Wide Open,1,84.0,2000-05-13
Aaliyah,Try Again,1,59.0,2000-03-18
matchbox twenty,Bent,1,60.0,2000-04-29
"Carey, Mariah",Thank God I Found You,1,82.0,1999-12-11
"Hill, Faith",Breathe,1,81.0,1999-11-06
Mya,Case Of The Ex (Whatcha Gonna Do),1,72.0,2000-08-19
Dream,He Loves U Not,1,99.0,2000-09-30
"Braxton, Toni",He Wasn't Man Enough,1,63.0,2000-03-18
"Anthony, Marc",You Sang To Me,1,77.0,2000-02-26
98¡,Give Me Just One Night (Una Noche),1,51.0,2000-08-19
Destiny's Child,Jumpin' Jumpin',1,74.0,2000-05-13
3 Doors Down,Kryptonite,1,81.0,2000-04-08
Sisqo,Thong Song,1,74.0,2000-01-29
"Aguilera, Christina",I Turn To You,1,50.0,2000-04-15
"Houston, Whitney",My Love Is Your Love,1,81.0,1999-09-04
Joe,I Wanna Know,1,94.0,2000-01-01
"Jordan, Montell",Get It On.. Tonite,1,92.0,1999-10-23
N'Sync,Bye Bye Bye,1,42.0,2000-01-29
Eminem,The Real Slim Shady,1,70.0,2000-05-06
Pink,Most Girls,1,85.0,2000-08-12
"Mumba, Samantha",Gotta Tell You,1,85.0,2000-09-09
Blaque,Bring It All To Me,1,73.0,1999-10-23
"Elliott, Missy ""Misdemeanor""",Hot Boyz,1,36.0,1999-11-27
"Gray, Macy",I Try,1,68.0,2000-02-19
N'Sync,This I Promise You,1,68.0,2000-09-30
Ruff Endz,No More,1,76.0,2000-07-01
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,1,74.0,2000-01-01
Nine Days,Absolutely (Story Of A Girl),1,85.0,2000-05-06
"Dion, Celine",That's The Way It Is,1,74.0,1999-11-13
Blink-182,All The Small Things,1,89.0,1999-12-04
Eiffel 65,Blue (Da Ba Dee),1,67.0,1999-12-11
"Badu, Erkyah",Bag Lady,1,67.0,2000-08-19
Pink,There U Go,1,25.0,2000-03-04
Creed,Higher,1,81.0,1999-09-11
Nelly,(Hot S**t) Country Grammar,1,100.0,2000-04-29
Next,Wifey,1,85.0,2000-05-27
Kenny G,Auld Lang Syne (The Millenium Mix),1,89.0,1999-12-25
Sonique,It Feels So Good,1,67.0,2000-01-22
"Spears, Britney",Oops!.. I Did It Again,1,67.0,2000-04-22
"Backstreet Boys, The",Shape Of My Heart,1,39.0,2000-10-14
Everclear,Wonderful,1,77.0,2000-07-08
Ja Rule,Between Me And You,1,85.0,2000-09-16
"Rimes, LeAnn",I Need You,1,77.0,2000-05-27
Smash Mouth,Then The Morning Comes,1,83.0,1999-10-30
Jay-Z,I Just Wanna Love U (Give It 2 Me),1,58.0,2000-10-28
Jagged Edge,Let's Get Married,1,77.0,2000-05-06
Filter,Take A Picture,1,91.0,1999-11-27
"Martin, Ricky",She Bangs,1,38.0,2000-10-07
Mystikal,Shake Ya Ass,1,97.0,2000-08-12
BBMak,Back Here,1,99.0,2000-04-29
"Spears, Britney",From The Bottom Of My Broken Heart,1,76.0,2000-01-29
Third Eye Blind,Never Let You Go,1,65.0,2000-01-22
Red Hot Chili Peppers,Otherside,1,80.0,2000-02-12
Profyle,Liar,1,52.0,2000-09-16
Barenaked Ladies,Pinch Me,1,77.0,2000-09-09
Jagged Edge,He Can't Love U,1,54.0,1999-12-11
504 Boyz,Wobble Wobble,1,57.0,2000-04-15
Sting,Desert Rose,1,98.0,2000-05-13
Jay-Z,Big Pimpin',1,69.0,2000-04-22
Kid Rock,Only God Knows Why,1,63.0,2000-02-19
Foo Fighters,Learn To Fly,1,80.0,1999-10-16
"Dixie Chicks, The",Goodbye Earl,1,40.0,2000-03-18
Guy,Dancin',1,46.0,1999-12-18
Lil Bow Wow,Bounce With Me,1,48.0,2000-08-19
Westlife,Swear It Again,1,96.0,2000-04-01
Train,Meet Virginia,1,76.0,1999-10-09
"Thomas, Carl",I Wish,1,75.0,2000-03-25
Hanson,This Time Around,1,22.0,2000-04-22
"Simpson, Jessica",I Think I'm In Love With You,1,63.0,2000-07-01
Ludacris,What's Your Fantasy,1,89.0,2000-09-30
Lil' Zane,Callin' Me,1,83.0,2000-07-29
M2M,Don't Say You Love Me,1,72.0,1999-11-20
SoulDecision,Faded,1,94.0,2000-07-08
"Brock, Chad",Yes!,1,90.0,2000-04-08
"Martin, Ricky",Shake Your Bon-Bon,1,74.0,1999-11-20
Vertical Horizon,You're A God,1,64.0,2000-08-26
Avant,Separated,1,62.0,2000-04-29
"Rimes, LeAnn",Big Deal,1,71.0,1999-10-16
IMx,Stay The Night,1,84.0,1999-10-09
Dr. Dre,The Next Episode,1,78.0,2000-05-27
"Spears, Britney",Lucky,1,61.0,2000-08-12
Savage Garden,Crash And Burn,1,75.0,2000-04-08
Kandi,Don't Think I'm Not,1,66.0,2000-08-05
Sammie,I Like It,1,85.0,2000-01-29
Goo Goo Dolls,Broadway,1,74.0,2000-04-22
"Moore, Mandy",I Wanna Be With You,1,69.0,2000-06-17
Dr. Dre,Forgot About Dre,1,75.0,2000-01-22
D'Angelo,Untitled (How Does It Feel),1,77.0,2000-01-22
"Messina, Jo Dee",That's The Way,1,78.0,2000-06-24
Avant,My First Love,1,70.0,2000-11-04
Son By Four,A Puro Dolor (Purest Of Pain),1,80.0,2000-04-08
Da Brat,What'Chu Like,1,71.0,2000-06-03
DMX,Party Up (Up In Here),1,88.0,2000-02-26
"Dixie Chicks, The",Cowboy Take Me Away,1,79.0,1999-11-27
"McGraw, Tim",My Next Thirty Years,1,73.0,2000-10-21
"Tritt, Travis",Best Of Intentions,1,97.0,2000-08-19
Alice Deejay,Better Off Alone,1,79.0,2000-04-08
Hoku,Another Dumb Blonde,1,69.0,2000-02-19
"Houston, Whitney",I Learned From The Best,1,83.0,2000-02-19
Counting Crows,Hanginaround,1,84.0,1999-11-06
Mary Mary,Shackles (Praise You),1,90.0,2000-03-25
"Carey, Mariah",Crybaby,1,28.0,2000-06-24
"McGraw, Tim",My Best Friend,1,85.0,1999-11-27
Sugar Ray,Falls Apart,1,70.0,2000-01-15
Madonna,American Pie,1,43.0,2000-02-19
"Jones, Donell",Where I Wanna Be,1,81.0,2000-04-22
"Paisley, Brad",We Danced,1,71.0,2000-10-14
Lonestar,What About Now,1,78.0,2000-06-10
"Backstreet Boys, The",The One,1,58.0,2000-05-27
"Keith, Toby",How Do You Like Me Now?!,1,77.0,2000-01-29
"Strait, George",The Best Day,1,73.0,2000-01-29
"Dixie Chicks, The",Without You,1,80.0,2000-10-07
Musiq,Just Friends (Sunny),1,89.0,2000-10-14
"McEntire, Reba",What Do You Say,1,88.0,1999-10-30
"Braxton, Toni",Just Be A Man About It,1,76.0,2000-07-29
"Iglesias, Enrique",Rhythm Divine,1,90.0,1999-12-04
"Fabian, Lara",I Will Love Again,1,91.0,2000-06-10
Bon Jovi,It's My Life,1,64.0,2000-08-12
"Evans, Sara",Born To Fly,1,77.0,2000-10-21
"Chesney, Kenny",I Lost It,1,75.0,2000-10-21
J-Shin,One Night Stand,1,96.0,1999-12-25
Eve,Love Is Blind,1,94.0,2000-01-08
Aaliyah,I Don't Wanna,1,84.0,2000-01-29
"Montgomery, John Michael",The Little Girl,1,81.0,2000-09-09
"Carter, Aaron",Aaron's Party (Come Get It),1,99.0,2000-08-26
"Vassar, Phil",Just Another Day In Paradise,1,81.0,2000-09-30
Ice Cube,You Can Do It,1,86.0,1999-12-04
"Wills, Mark",Back At One,1,89.0,2000-01-15
Lucy Pearl,Dance Tonight,1,80.0,2000-05-20
"Jackson, Alan",It Must Be Love,1,76.0,2000-06-24
"Griggs, Andy",She's More,1,81.0,2000-03-11
No Doubt,Simple Kind Of Life,1,50.0,2000-07-01
"Jean, Wyclef",911,1,77.0,2000-10-07
Rascal Flatts,Prayin' For Daylight,1,87.0,2000-05-06
Vitamin C,Graduation (Friends Forever),1,81.0,2000-04-15
"Gilman, Billy",One Voice,1,86.0,2000-06-17
Lonestar,Smile,1,89.0,1999-12-18
"Rogers, Kenny",Buy Me A Rose,1,79.0,2000-03-11
"Lawrence, Tracy",Lessons Learned,1,80.0,2000-01-29
"Strait, George",Go On,1,71.0,2000-08-26
Sisqo,Got To Get It,1,92.0,1999-11-20
Baha Men,Who Let The Dogs Out,1,99.0,2000-07-22
"Walker, Clay",The Chain Of Love,1,73.0,2000-04-15
"McBride, Martina",Love's The Only House,1,79.0,2000-02-05
Amber,Sexual (Li Da Di),1,99.0,1999-07-17
"Tippin, Aaron",Kiss This,1,74.0,2000-08-26
SheDaisy,I Will.. But,1,78.0,2000-07-15
"Raye, Collin",Couldn't Last A Moment,1,91.0,2000-03-18
Black Rob,Whoa!,1,78.0,2000-03-04
"Jackson, Alan",Pop A Top,1,79.0,1999-11-13
"Black, Clint",Been There,1,87.0,2000-02-19
Common,The Light,1,75.0,2000-08-05
"Vassar, Phil",Carlene,1,75.0,2000-03-04
"Jackson, Alan",www.memory,1,75.0,2000-11-04
Vitamin C,The Itch,1,86.0,2000-12-02
"Eastsidaz, The",G'D Up,1,77.0,2000-01-08
Ideal,Whatever,1,75.0,2000-06-10
"Thomas, Carl",Emotional,1,77.0,2000-11-25
Ginuwine,None Of Ur Friends Business,1,94.0,1999-12-11
"Davidson, Clay",Unconditional,1,97.0,2000-03-25
DMX,What You Want,1,98.0,2000-07-01
"John, Elton",Someday Out Of The Blue,1,56.0,2000-04-22
Pearl Jam,Nothing As It Seems,1,49.0,2000-05-13
Mya,The Best Of Me,1,85.0,2000-04-15
"Heatherly, Eric",Flowers On The Wall,1,95.0,2000-04-29
Eminem,Stan,1,78.0,2000-11-04
"McEntire, Reba",I'll Be,1,89.0,2000-05-13
"Lopez, Jennifer",Feelin' Good,1,79.0,2000-02-19
"Urban, Keith",Your Everything,1,81.0,2000-07-15
TLC,Dear Lie,1,63.0,2000-02-12
"Gill, Vince",Feels Like Love,1,82.0,2000-09-02
"Houston, Whitney",Could I Have This Kiss Forever,1,74.0,2000-06-17
Bloodhound Gang,The Bad Touch,1,70.0,2000-03-18
"Williams, Robbie",Angels,1,85.0,1999-11-20
"Messina, Jo Dee",Because You Love Me,1,83.0,2000-01-29
"Keith, Toby",Country Comes To Town,1,82.0,2000-08-05
Beenie Man,Girls Dem Sugar,1,72.0,2000-10-21
"Hill, Faith",Let's Make Love,1,83.0,2000-08-12
Kelis,Caught Out There,1,84.0,1999-12-04
Jay-Z,Anything,1,72.0,2000-02-26
3 Doors Down,Loser,1,76.0,2000-10-21
Brooks & Dunn,You'll Always Be Loved By Me,1,95.0,2000-06-10
"Chesney, Kenny",What I Need To Do,1,79.0,2000-04-01
"Stone, Angie",No More Rain (In This Cloud),1,86.0,1999-12-25
Da Brat,That's What I'm Looking For,1,93.0,2000-02-26
SheDaisy,This Woman Needs,1,82.0,2000-02-05
Papa Roach,Last Resort,1,75.0,2000-07-29
"Adams, Yolanda",Open My Heart,1,76.0,2000-08-26
Shyne,Bad Boyz,1,94.0,2000-09-09
R.E.M.,The Great Beyond,1,79.0,1999-12-25
"Diffie, Joe",It's Always Somethin',1,81.0,2000-08-12
"McGraw, Tim",Some Things Never Change,1,76.0,2000-05-13
"Henley, Don",Taking You Home,1,79.0,2000-06-24
Eminem,The Way I Am,1,87.0,2000-08-26
Nas,You Owe Me,1,74.0,2000-03-25
Sister Hazel,Change Your Mind,1,75.0,2000-07-15
Puff Daddy,Best Friend,1,65.0,2000-02-12
"McBride, Martina",There You Are,1,79.0,2000-09-09
Usher,Pop Ya Collar,1,68.0,2000-11-04
Lil' Kim,No Matter What They Say,1,80.0,2000-07-15
LFO,I Don't Wanna Kiss You Goodnight,1,63.0,2000-04-15
SheDaisy,Deck The Halls,1,97.0,1999-12-25
Splender,I Think God Can Explain,1,71.0,2000-06-10
"Simpson, Jessica",Where You Are,1,73.0,2000-04-01
M2M,Mirror Mirror,1,87.0,2000-04-01
Kumbia Kings,U Don't Love Me,1,81.0,2000-03-04
Joe,Treat Her Like A Lady,1,77.0,2000-08-05
"Blige, Mary J.",Deep Inside,1,83.0,1999-11-13
"Price, Kelly",You Should've Told Me,1,91.0,2000-09-23
Changing Faces,That Other Woman,1,80.0,2000-09-30
"Wright, Chely",It Was,1,86.0,2000-03-04
Limp Bizkit,Rollin',1,77.0,2000-11-11
Hot Boys,I Need A Hot Girl,1,77.0,2000-02-19
Jay-Z,Do It Again (Put Ya Hands Up),1,95.0,2000-01-15
"Adkins, Trace",More,1,84.0,2000-04-29
"Dixie Chicks, The",Cold Day In July,1,80.0,2000-06-24
"Price, Kelly",As We Lay,1,82.0,2000-07-15
DMX,What's My Name,1,98.0,2000-01-15
"Martin, Ricky",Private Emotion,1,76.0,2000-03-11
Nine Days,If I Am,1,68.0,2000-12-02
"Blige, Mary J.",Give Me You,1,97.0,2000-04-15
Red Hot Chili Peppers,Californication,1,72.0,2000-07-29
Third Eye Blind,Deep Inside Of You,1,80.0,2000-09-02
"Brooks, Garth",Do What You Gotta Do,1,86.0,2000-02-19
"Offspring, The",Original Prankster,1,74.0,2000-11-25
"Anthony, Marc",My Baby You,1,82.0,2000-09-16
"Houston, Whitney","Same Script, Different Cast",1,71.0,2000-06-17
D'Angelo,Left & Right,1,93.0,1999-12-11
"Kravitz, Lenny",I Belong To You,1,78.0,2000-03-25
"Loveless, Patty",That's The Kind Of Mood I'm In,1,98.0,2000-09-16
Q-Tip,Breathe And Stop,1,71.0,2000-01-22
"Rimes, LeAnn",Can't Fight The Moonlight,1,82.0,2000-09-09
Lil Wayne,Tha Block Is Hot,1,99.0,1999-12-04
2 Pac,Baby Don't Cry (Keep Ya Head Up II),1,87.0,2000-02-26
"Wallflowers, The",Sleepwalker,1,73.0,2000-10-28
Drama,"Left, Right, Left",1,100.0,2000-02-12
Limp Bizkit,N 2 Gether Now,1,94.0,1999-12-04
Lox,"Ryde or Die, Chick",1,86.0,2000-03-18
Ying Yang Twins,Whistle While You Twurk,1,95.0,2000-03-18
"Walker, Clay","Live, Laugh, Love",1,95.0,1999-12-04
Metallica,No Leaf Clover (Live),1,86.0,2000-02-12
Yankee Grey,Another Nine Minutes,1,86.0,2000-04-29
"Bega, Lou",Tricky Tricky ,1,75.0,2000-01-29
Big Punisher,It's So Hard,1,96.0,2000-04-22
"Worley, Darryl",When You Need My Love,1,98.0,2000-06-17
Lil' Kim,How Many Licks?,1,79.0,2000-11-25
"Clark, Terri",A Little Gasoline,1,75.0,2000-12-16
